Statistic,Leading Team,Mean Value
Goals,Liverpool,3.57
Assists,Liverpool,2.67
Yellow Cards,Crystal Palace,3.74
Red Cards,Arsenal,0.23
xG,Liverpool,3.52
xAG,Liverpool,2.54
PrgC,Manchester City,39.60
PrgP,Liverpool,79.57
PrgR,Liverpool,78.81
Gls/90,Manchester City,0.20
Ast/90,Liverpool,0.15
xG/90,Aston Villa,0.20
xAG/90,Chelsea,0.15
GA90,Leicester City,2.72
Save%,Bournemouth,0.80
CS%,Aston Villa,0.58
PK Save%,Everton,100.00
SoT%,Nott'ham Forest,0.41
SoT/90,Bournemouth,0.55
G/Sh,Manchester City,0.13
Dist,Nott'ham Forest,18.68
Cmp,Liverpool,756.10
Cmp%,Manchester City,86.62
TotDist,Liverpool,12863.48
KP,Liverpool,21.05
1/3,Liverpool,66.00
PPA,Liverpool,18.38
CrsPA,Fulham,3.82
PrgP.1,Liverpool,79.57
Short Cmp%,Manchester City,92.18
Medium Cmp%,Manchester City,89.53
Long Cmp%,Manchester City,60.70
SCA,Liverpool,47.90
SCA90,Liverpool,2.62
GCA,Liverpool,6.24
GCA90,Liverpool,0.35
Tkl,Crystal Palace,34.11
TklW,Crystal Palace,19.79
Att,Crystal Palace,29.11
Lost,Crystal Palace,14.63
Blocks,Crystal Palace,21.11
Sh,Brentford,8.19
Pass,Crystal Palace,15.21
Int,Crystal Palace,13.68
Touches,Liverpool,1070.52
Def Pen,Brentford,138.52
Def 3rd,Brentford,348.86
Mid 3rd,Liverpool,484.10
Att 3rd,Manchester City,335.32
Att Pen,Liverpool,54.14
Att (Take-Ons),Arsenal,29.23
Succ% (Take-Ons),Liverpool,54.84
Tkld% (Take-Ons),Leicester City,48.47
Carries,Manchester City,626.96
PrgDist,Manchester City,1940.32
ProgC,Manchester City,39.60
1/3 (Carries),Manchester City,29.48
CPA,Manchester City,13.84
Mis,Nott'ham Forest,22.86
Dis,Newcastle Utd,18.05
Rec,Liverpool,747.81
PrgR.1,Liverpool,78.81
Fls,Bournemouth,19.35
Fld,Crystal Palace,18.05
Off,Nott'ham Forest,3.57
Crs,Fulham,34.41
Recov,Crystal Palace,73.32
Won (Aerial),Brentford,26.00
Lost (Aerial),Crystal Palace,28.74
Won% (Aerial),Southampton,54.51
